Close price,Exchange Date
561,04-Jan-2000
560,05-Jan-2000
556,06-Jan-2000
564,07-Jan-2000
565,10-Jan-2000
564,11-Jan-2000
568,12-Jan-2000
579,13-Jan-2000
573,14-Jan-2000
564,17-Jan-2000
560,18-Jan-2000
565,19-Jan-2000
565,20-Jan-2000
569,21-Jan-2000
567,24-Jan-2000
567,25-Jan-2000
571,26-Jan-2000
565,27-Jan-2000
569,28-Jan-2000
552,31-Jan-2000
521,01-Feb-2000
530,02-Feb-2000
533,03-Feb-2000
535,04-Feb-2000
536,07-Feb-2000
533,08-Feb-2000
538,09-Feb-2000
537,10-Feb-2000
536,11-Feb-2000
528,14-Feb-2000
532,15-Feb-2000
530,16-Feb-2000
537,17-Feb-2000
539,18-Feb-2000
533,21-Feb-2000
530,22-Feb-2000
531,23-Feb-2000
533,24-Feb-2000
512,25-Feb-2000
508,28-Feb-2000
525,29-Feb-2000
536,01-Mar-2000
567,02-Mar-2000
586,03-Mar-2000
582,06-Mar-2000
594,07-Mar-2000
586,08-Mar-2000
591,09-Mar-2000
580,10-Mar-2000
582,13-Mar-2000
597,14-Mar-2000
609,15-Mar-2000
616,16-Mar-2000
603,17-Mar-2000
583,20-Mar-2000
566,21-Mar-2000
578,22-Mar-2000
575,23-Mar-2000
550,24-Mar-2000
540,27-Mar-2000
549,28-Mar-2000
567,29-Mar-2000
547,30-Mar-2000
588,31-Mar-2000
571,03-Apr-2000
587,04-Apr-2000
595,05-Apr-2000
604,06-Apr-2000
599,07-Apr-2000
595,10-Apr-2000
599,11-Apr-2000
596,12-Apr-2000
599,13-Apr-2000
595,14-Apr-2000
598,17-Apr-2000
621,18-Apr-2000
609,19-Apr-2000
600,20-Apr-2000
588,25-Apr-2000
585,26-Apr-2000
570,27-Apr-2000
577,28-Apr-2000
583,02-May-2000
580,03-May-2000
587,04-May-2000
589,05-May-2000
576,08-May-2000
580,09-May-2000
586,10-May-2000
606,11-May-2000
605,12-May-2000
599,15-May-2000
624,16-May-2000
618,17-May-2000
625,18-May-2000
647,19-May-2000
644,22-May-2000
638,23-May-2000
645,24-May-2000
645,25-May-2000
638,26-May-2000
625,30-May-2000
635,31-May-2000
640,01-Jun-2000
631,02-Jun-2000
620,05-Jun-2000
618,06-Jun-2000
604,07-Jun-2000
627,08-Jun-2000
629,09-Jun-2000
624,12-Jun-2000
629,13-Jun-2000
630,14-Jun-2000
634,15-Jun-2000
639,16-Jun-2000
632,19-Jun-2000
621,20-Jun-2000
632,21-Jun-2000
632,22-Jun-2000
615,23-Jun-2000
592,26-Jun-2000
597,27-Jun-2000
599,28-Jun-2000
596,29-Jun-2000
585,30-Jun-2000
580,03-Jul-2000
593,04-Jul-2000
593,05-Jul-2000
588,06-Jul-2000
599,07-Jul-2000
594,10-Jul-2000
600,11-Jul-2000
593,12-Jul-2000
596,13-Jul-2000
588,14-Jul-2000
625,17-Jul-2000
628,18-Jul-2000
630,19-Jul-2000
649,20-Jul-2000
649,21-Jul-2000
622,24-Jul-2000
620,25-Jul-2000
622,26-Jul-2000
617,27-Jul-2000
624,28-Jul-2000
618,31-Jul-2000
614,01-Aug-2000
616,02-Aug-2000
592,03-Aug-2000
583,04-Aug-2000
570,07-Aug-2000
576,08-Aug-2000
568,09-Aug-2000
578,10-Aug-2000
577,11-Aug-2000
578,14-Aug-2000
577,15-Aug-2000
575,16-Aug-2000
574,17-Aug-2000
575,18-Aug-2000
577,21-Aug-2000
576,22-Aug-2000
563,23-Aug-2000
576,24-Aug-2000
570,25-Aug-2000
569,29-Aug-2000
578,30-Aug-2000
589,31-Aug-2000
586,01-Sep-2000
595,04-Sep-2000
593,05-Sep-2000
596,06-Sep-2000
588,07-Sep-2000
602,08-Sep-2000
609,11-Sep-2000
615,12-Sep-2000
615,13-Sep-2000
622,14-Sep-2000
646,15-Sep-2000
649,18-Sep-2000
643,19-Sep-2000
637,20-Sep-2000
629,21-Sep-2000
621,22-Sep-2000
615,25-Sep-2000
612,26-Sep-2000
607,27-Sep-2000
603,28-Sep-2000
611,29-Sep-2000
606,02-Oct-2000
612,03-Oct-2000
618,04-Oct-2000
639,05-Oct-2000
632,06-Oct-2000
629,09-Oct-2000
638,10-Oct-2000
630,11-Oct-2000
619,12-Oct-2000
622,13-Oct-2000
623,16-Oct-2000
626,17-Oct-2000
625,18-Oct-2000
624,19-Oct-2000
611,20-Oct-2000
605,23-Oct-2000
617,24-Oct-2000
608,25-Oct-2000
612,26-Oct-2000
591,27-Oct-2000
582,30-Oct-2000
586,31-Oct-2000
582,01-Nov-2000
589,02-Nov-2000
583,03-Nov-2000
582,06-Nov-2000
584,07-Nov-2000
582,08-Nov-2000
583,09-Nov-2000
576,10-Nov-2000
561,13-Nov-2000
560,14-Nov-2000
562,15-Nov-2000
560,16-Nov-2000
560,17-Nov-2000
555,20-Nov-2000
550,21-Nov-2000
548,22-Nov-2000
545,23-Nov-2000
541,24-Nov-2000
540,27-Nov-2000
540,28-Nov-2000
545,29-Nov-2000
560,30-Nov-2000
551,01-Dec-2000
554,04-Dec-2000
557,05-Dec-2000
554,06-Dec-2000
558,07-Dec-2000
552,08-Dec-2000
538,11-Dec-2000
534,12-Dec-2000
558,13-Dec-2000
558,14-Dec-2000
561,15-Dec-2000
559,18-Dec-2000
559,19-Dec-2000
569,20-Dec-2000
592,21-Dec-2000
588,22-Dec-2000
588,27-Dec-2000
586,28-Dec-2000
582,29-Dec-2000
587,02-Jan-2001
580,03-Jan-2001
584,04-Jan-2001
616,05-Jan-2001
624,08-Jan-2001
622,09-Jan-2001
616,10-Jan-2001
634,11-Jan-2001
661,12-Jan-2001
690,15-Jan-2001
693,16-Jan-2001
716,17-Jan-2001
766,18-Jan-2001
730,19-Jan-2001
754,22-Jan-2001
752,23-Jan-2001
770,24-Jan-2001
785,25-Jan-2001
808,26-Jan-2001
834,29-Jan-2001
824,30-Jan-2001
800,31-Jan-2001
809,01-Feb-2001
811,02-Feb-2001
805,05-Feb-2001
828,06-Feb-2001
818,07-Feb-2001
810,08-Feb-2001
806,09-Feb-2001
822,12-Feb-2001
844,13-Feb-2001
849,14-Feb-2001
842,15-Feb-2001
879,16-Feb-2001
907,19-Feb-2001
918,20-Feb-2001
931,21-Feb-2001
934,22-Feb-2001
925,23-Feb-2001
881,26-Feb-2001
881,27-Feb-2001
910,28-Feb-2001
905,01-Mar-2001
889,02-Mar-2001
919,05-Mar-2001
886,06-Mar-2001
882,07-Mar-2001
869,08-Mar-2001
877,09-Mar-2001
850,12-Mar-2001
842,13-Mar-2001
820,14-Mar-2001
800,15-Mar-2001
788,16-Mar-2001
785,19-Mar-2001
773,20-Mar-2001
741,21-Mar-2001
795,22-Mar-2001
814,23-Mar-2001
833,26-Mar-2001
830,27-Mar-2001
821,28-Mar-2001
825,29-Mar-2001
851,30-Mar-2001
844,02-Apr-2001
830,03-Apr-2001
811,04-Apr-2001
811,05-Apr-2001
817,06-Apr-2001
792,09-Apr-2001
788,10-Apr-2001
792,11-Apr-2001
797,12-Apr-2001
769,17-Apr-2001
776,18-Apr-2001
754,19-Apr-2001
772,20-Apr-2001
773,23-Apr-2001
771,24-Apr-2001
777,25-Apr-2001
786,26-Apr-2001
780,27-Apr-2001
764,30-Apr-2001
759,01-May-2001
746,02-May-2001
758,03-May-2001
751,04-May-2001
789,08-May-2001
788,09-May-2001
799,10-May-2001
803,11-May-2001
796,14-May-2001
796,15-May-2001
873,16-May-2001
850,17-May-2001
850,18-May-2001
848,21-May-2001
830,22-May-2001
843,23-May-2001
830,24-May-2001
792,25-May-2001
792,28-May-2001
783,29-May-2001
739,30-May-2001
740,31-May-2001
733,01-Jun-2001
727,04-Jun-2001
733,05-Jun-2001
743,06-Jun-2001
720,07-Jun-2001
726,08-Jun-2001
739,11-Jun-2001
724,12-Jun-2001
738,13-Jun-2001
727,14-Jun-2001
728,15-Jun-2001
730,18-Jun-2001
711,19-Jun-2001
686,20-Jun-2001
681,21-Jun-2001
697,22-Jun-2001
679,25-Jun-2001
696,26-Jun-2001
707,27-Jun-2001
715,28-Jun-2001
735,29-Jun-2001
730,02-Jul-2001
728,03-Jul-2001
720,04-Jul-2001
721,05-Jul-2001
729,06-Jul-2001
709,09-Jul-2001
690,10-Jul-2001
690,11-Jul-2001
675,12-Jul-2001
684,13-Jul-2001
677,16-Jul-2001
690,17-Jul-2001
680,18-Jul-2001
702,19-Jul-2001
707,20-Jul-2001
699,23-Jul-2001
695,24-Jul-2001
694,25-Jul-2001
692,26-Jul-2001
678,27-Jul-2001
684,30-Jul-2001
703,31-Jul-2001
691,01-Aug-2001
691,02-Aug-2001
694,03-Aug-2001
725,06-Aug-2001
738,07-Aug-2001
736,08-Aug-2001
751,09-Aug-2001
741,10-Aug-2001
742,13-Aug-2001
740,14-Aug-2001
748,15-Aug-2001
750,16-Aug-2001
740,17-Aug-2001
734,20-Aug-2001
725,21-Aug-2001
724,22-Aug-2001
710,23-Aug-2001
716,24-Aug-2001
715,28-Aug-2001
698,29-Aug-2001
684,30-Aug-2001
686,31-Aug-2001
677,03-Sep-2001
668,04-Sep-2001
648,05-Sep-2001
657,06-Sep-2001
664,07-Sep-2001
666,10-Sep-2001
681,11-Sep-2001
681,12-Sep-2001
691,13-Sep-2001
710,14-Sep-2001
707,17-Sep-2001
703,18-Sep-2001
714,19-Sep-2001
747,20-Sep-2001
743,21-Sep-2001
740,24-Sep-2001
738,25-Sep-2001
745,26-Sep-2001
766,27-Sep-2001
795,28-Sep-2001
795,01-Oct-2001
794,02-Oct-2001
799,03-Oct-2001
818,04-Oct-2001
809,05-Oct-2001
780,08-Oct-2001
755,09-Oct-2001
769,10-Oct-2001
767,11-Oct-2001
756,12-Oct-2001
750,15-Oct-2001
759,16-Oct-2001
781,17-Oct-2001
769,18-Oct-2001
755,19-Oct-2001
743,22-Oct-2001
755,23-Oct-2001
747,24-Oct-2001
736,25-Oct-2001
737,26-Oct-2001
727,29-Oct-2001
730,30-Oct-2001
743,31-Oct-2001
743,01-Nov-2001
733,02-Nov-2001
731,05-Nov-2001
730,06-Nov-2001
771,07-Nov-2001
836,08-Nov-2001
844,09-Nov-2001
840,12-Nov-2001
888,13-Nov-2001
884,14-Nov-2001
906,15-Nov-2001
928,16-Nov-2001
946,19-Nov-2001
935,20-Nov-2001
934,21-Nov-2001
935,22-Nov-2001
936,23-Nov-2001
958,26-Nov-2001
949,27-Nov-2001
951,28-Nov-2001
984,29-Nov-2001
980,30-Nov-2001
960,03-Dec-2001
940,04-Dec-2001
946,05-Dec-2001
950,06-Dec-2001
920,07-Dec-2001
896,10-Dec-2001
953,11-Dec-2001
963,12-Dec-2001
977,13-Dec-2001
990,14-Dec-2001
986,17-Dec-2001
978,18-Dec-2001
962,19-Dec-2001
959,20-Dec-2001
963,21-Dec-2001
970,27-Dec-2001
973,28-Dec-2001
975,02-Jan-2002
970,03-Jan-2002
"1,026",04-Jan-2002
"1,041",07-Jan-2002
"1,027",08-Jan-2002
"1,035",09-Jan-2002
"1,015",10-Jan-2002
"1,007",11-Jan-2002
967,14-Jan-2002
981,15-Jan-2002
"1,000",16-Jan-2002
990,17-Jan-2002
974,18-Jan-2002
971,21-Jan-2002
"1,000",22-Jan-2002
"1,023",23-Jan-2002
"1,005",24-Jan-2002
"1,021",25-Jan-2002
"1,022",28-Jan-2002
"1,021",29-Jan-2002
"1,036",30-Jan-2002
"1,024",31-Jan-2002
"1,024",01-Feb-2002
"1,059",04-Feb-2002
"1,045",05-Feb-2002
"1,062",06-Feb-2002
"1,093",07-Feb-2002
"1,105",08-Feb-2002
"1,115",11-Feb-2002
"1,103",12-Feb-2002
"1,093",13-Feb-2002
"1,095",14-Feb-2002
"1,105",15-Feb-2002
"1,104",18-Feb-2002
"1,085",19-Feb-2002
"1,065",20-Feb-2002
"1,065",21-Feb-2002
"1,084",22-Feb-2002
"1,107",25-Feb-2002
"1,120",26-Feb-2002
"1,110",27-Feb-2002
"1,118",28-Feb-2002
"1,142",01-Mar-2002
"1,140",04-Mar-2002
"1,130",05-Mar-2002
"1,134",06-Mar-2002
"1,159",07-Mar-2002
"1,165",08-Mar-2002
"1,177",11-Mar-2002
"1,194",12-Mar-2002
"1,188",13-Mar-2002
"1,232",14-Mar-2002
"1,229",15-Mar-2002
"1,217",18-Mar-2002
"1,208",19-Mar-2002
"1,190",20-Mar-2002
"1,190",21-Mar-2002
"1,215",22-Mar-2002
"1,184",25-Mar-2002
"1,170",26-Mar-2002
"1,190",27-Mar-2002
"1,191",28-Mar-2002
"1,180",02-Apr-2002
"1,171",03-Apr-2002
"1,186",04-Apr-2002
"1,218",05-Apr-2002
"1,183",08-Apr-2002
"1,168",09-Apr-2002
"1,151",10-Apr-2002
"1,151",11-Apr-2002
"1,175",12-Apr-2002
"1,165",15-Apr-2002
"1,167",16-Apr-2002
"1,190",17-Apr-2002
"1,190",18-Apr-2002
"1,189",19-Apr-2002
"1,195",22-Apr-2002
"1,205",23-Apr-2002
"1,197",24-Apr-2002
"1,194",25-Apr-2002
"1,196",26-Apr-2002
"1,183",29-Apr-2002
"1,196",30-Apr-2002
"1,173",01-May-2002
"1,184",02-May-2002
"1,182",03-May-2002
"1,182",06-May-2002
"1,163",07-May-2002
"1,178",08-May-2002
"1,184",09-May-2002
"1,172",10-May-2002
"1,190",13-May-2002
"1,202",14-May-2002
"1,205",15-May-2002
"1,231",16-May-2002
"1,278",17-May-2002
"1,272",20-May-2002
"1,282",21-May-2002
"1,265",22-May-2002
"1,269",23-May-2002
"1,261",24-May-2002
"1,258",27-May-2002
"1,275",28-May-2002
"1,294",29-May-2002
"1,304",30-May-2002
"1,298",31-May-2002
"1,298",03-Jun-2002
"1,298",04-Jun-2002
"1,286",05-Jun-2002
"1,277",06-Jun-2002
"1,275",07-Jun-2002
"1,224",10-Jun-2002
"1,237",11-Jun-2002
"1,260",12-Jun-2002
"1,257",13-Jun-2002
"1,253",14-Jun-2002
"1,265",17-Jun-2002
"1,264",18-Jun-2002
"1,276",19-Jun-2002
"1,300",20-Jun-2002
"1,316",21-Jun-2002
"1,331",24-Jun-2002
"1,335",25-Jun-2002
"1,339",26-Jun-2002
"1,347",27-Jun-2002
"1,347",28-Jun-2002
"1,355",01-Jul-2002
"1,373",02-Jul-2002
"1,383",03-Jul-2002
"1,400",04-Jul-2002
"1,405",05-Jul-2002
"1,406",08-Jul-2002
"1,430",09-Jul-2002
"1,450",10-Jul-2002
"1,468",11-Jul-2002
"1,407",12-Jul-2002
"1,423",15-Jul-2002
"1,449",16-Jul-2002
"1,370",17-Jul-2002
"1,366",18-Jul-2002
"1,389",19-Jul-2002
"1,399",22-Jul-2002
"1,375",23-Jul-2002
"1,351",24-Jul-2002
"1,400",25-Jul-2002
"1,405",26-Jul-2002
"1,390",29-Jul-2002
"1,380",30-Jul-2002
"1,403",31-Jul-2002
"1,378",01-Aug-2002
"1,309",02-Aug-2002
"1,311",05-Aug-2002
"1,331",06-Aug-2002
"1,355",07-Aug-2002
"1,350",08-Aug-2002
"1,357",09-Aug-2002
"1,358",12-Aug-2002
"1,366",13-Aug-2002
"1,359",14-Aug-2002
"1,376",15-Aug-2002
"1,371",16-Aug-2002
"1,390",19-Aug-2002
"1,399",20-Aug-2002
"1,406",21-Aug-2002
"1,410",22-Aug-2002
"1,400",23-Aug-2002
"1,400",26-Aug-2002
"1,388",27-Aug-2002
"1,389",28-Aug-2002
"1,404",29-Aug-2002
"1,406",30-Aug-2002
"1,401",02-Sep-2002
"1,364",03-Sep-2002
"1,381",04-Sep-2002
"1,388",05-Sep-2002
"1,398",06-Sep-2002
"1,400",09-Sep-2002
"1,389",10-Sep-2002
"1,398",11-Sep-2002
"1,399",12-Sep-2002
"1,385",13-Sep-2002
"1,443",16-Sep-2002
"1,451",17-Sep-2002
"1,455",18-Sep-2002
"1,478",19-Sep-2002
"1,477",20-Sep-2002
"1,480",23-Sep-2002
"1,476",24-Sep-2002
"1,493",25-Sep-2002
"1,499",26-Sep-2002
"1,510",27-Sep-2002
"1,519",30-Sep-2002
"1,515",01-Oct-2002
"1,518",02-Oct-2002
"1,524",03-Oct-2002
"1,530",04-Oct-2002
"1,540",07-Oct-2002
"1,555",08-Oct-2002
"1,582",09-Oct-2002
"1,605",10-Oct-2002
"1,593",11-Oct-2002
"1,613",14-Oct-2002
"1,586",15-Oct-2002
"1,454",16-Oct-2002
"1,454",17-Oct-2002
"1,350",18-Oct-2002
"1,348",21-Oct-2002
"1,399",22-Oct-2002
"1,424",23-Oct-2002
"1,422",24-Oct-2002
"1,409",25-Oct-2002
"1,363",28-Oct-2002
"1,304",29-Oct-2002
"1,309",30-Oct-2002
"1,298",31-Oct-2002
"1,270",01-Nov-2002
"1,213",04-Nov-2002
"1,206",05-Nov-2002
"1,259",06-Nov-2002
"1,247",07-Nov-2002
"1,219",08-Nov-2002
"1,192",11-Nov-2002
"1,149",12-Nov-2002
"1,135",13-Nov-2002
"1,136",14-Nov-2002
"1,141",15-Nov-2002
"1,153",18-Nov-2002
"1,143",19-Nov-2002
"1,141",20-Nov-2002
"1,139",21-Nov-2002
"1,131",22-Nov-2002
"1,120",25-Nov-2002
"1,111",26-Nov-2002
"1,140",27-Nov-2002
"1,149",28-Nov-2002
"1,173",29-Nov-2002
"1,160",02-Dec-2002
"1,191",03-Dec-2002
"1,193",04-Dec-2002
"1,214",05-Dec-2002
"1,241",06-Dec-2002
"1,312",09-Dec-2002
"1,340",10-Dec-2002
"1,305",11-Dec-2002
"1,307",12-Dec-2002
"1,340",13-Dec-2002
"1,328",16-Dec-2002
"1,341",17-Dec-2002
"1,340",18-Dec-2002
"1,340",19-Dec-2002
"1,334",20-Dec-2002
"1,327",23-Dec-2002
"1,318",24-Dec-2002
"1,295",27-Dec-2002
"1,285",30-Dec-2002
"1,287",31-Dec-2002
"1,349",02-Jan-2003
"1,375",03-Jan-2003
"1,392",06-Jan-2003
"1,390",07-Jan-2003
"1,338",08-Jan-2003
"1,365",09-Jan-2003
"1,358",10-Jan-2003
"1,322",13-Jan-2003
"1,314",14-Jan-2003
"1,321",15-Jan-2003
"1,357",16-Jan-2003
"1,351",17-Jan-2003
"1,351",20-Jan-2003
"1,356",21-Jan-2003
"1,354",22-Jan-2003
"1,380",23-Jan-2003
"1,350",24-Jan-2003
"1,376",27-Jan-2003
"1,419",28-Jan-2003
"1,438",29-Jan-2003
"1,454",30-Jan-2003
"1,473",31-Jan-2003
"1,458",03-Feb-2003
"1,468",04-Feb-2003
"1,458",05-Feb-2003
"1,419",06-Feb-2003
"1,470",07-Feb-2003
"1,454",10-Feb-2003
"1,438",11-Feb-2003
"1,457",12-Feb-2003
"1,454",13-Feb-2003
"1,486",14-Feb-2003
"1,476",17-Feb-2003
"1,464",18-Feb-2003
"1,471",19-Feb-2003
"1,368",20-Feb-2003
"1,364",21-Feb-2003
"1,380",24-Feb-2003
"1,298",25-Feb-2003
"1,330",26-Feb-2003
"1,340",27-Feb-2003
"1,338",28-Feb-2003
"1,284",03-Mar-2003
"1,303",04-Mar-2003
"1,304",05-Mar-2003
"1,292",06-Mar-2003
"1,315",07-Mar-2003
"1,307",10-Mar-2003
"1,292",11-Mar-2003
"1,295",12-Mar-2003
"1,284",13-Mar-2003
"1,266",14-Mar-2003
"1,304",17-Mar-2003
"1,354",18-Mar-2003
"1,325",19-Mar-2003
"1,323",20-Mar-2003
"1,305",21-Mar-2003
"1,273",24-Mar-2003
"1,267",25-Mar-2003
"1,243",26-Mar-2003
"1,248",27-Mar-2003
"1,239",28-Mar-2003
"1,256",31-Mar-2003
"1,250",01-Apr-2003
"1,270",02-Apr-2003
"1,253",03-Apr-2003
"1,255",04-Apr-2003
"1,274",07-Apr-2003
"1,296",08-Apr-2003
"1,289",09-Apr-2003
"1,250",10-Apr-2003
"1,215",11-Apr-2003
"1,212",14-Apr-2003
"1,203",15-Apr-2003
"1,207",16-Apr-2003
"1,210",17-Apr-2003
"1,255",22-Apr-2003
"1,208",23-Apr-2003
"1,220",24-Apr-2003
"1,236",25-Apr-2003
"1,227",28-Apr-2003
"1,240",29-Apr-2003
"1,236",30-Apr-2003
"1,232",01-May-2003
"1,219",02-May-2003
"1,219",05-May-2003
"1,188",06-May-2003
"1,168",07-May-2003
"1,162",08-May-2003
"1,161",09-May-2003
"1,148",12-May-2003
"1,107",13-May-2003
"1,096",14-May-2003
"1,100",15-May-2003
"1,116",16-May-2003
"1,073",19-May-2003
"1,036",20-May-2003
"1,031",21-May-2003
"1,068",22-May-2003
"1,072",23-May-2003
"1,072",26-May-2003
"1,005",27-May-2003
"1,015",28-May-2003
970,29-May-2003
974,30-May-2003
"1,008",02-Jun-2003
987,03-Jun-2003
987,04-Jun-2003
958,05-Jun-2003
954,06-Jun-2003
957,09-Jun-2003
947,10-Jun-2003
953,11-Jun-2003
953,12-Jun-2003
933,13-Jun-2003
933,16-Jun-2003
965,17-Jun-2003
962,18-Jun-2003
920,19-Jun-2003
973,20-Jun-2003
963,23-Jun-2003
959,24-Jun-2003
967,25-Jun-2003
974,26-Jun-2003
"1,000",27-Jun-2003
"1,020",30-Jun-2003
"1,007",01-Jul-2003
"1,012",02-Jul-2003
"1,008",03-Jul-2003
"1,020",04-Jul-2003
"1,030",07-Jul-2003
"1,022",08-Jul-2003
996,09-Jul-2003
967,10-Jul-2003
967,11-Jul-2003
950,14-Jul-2003
949,15-Jul-2003
953,16-Jul-2003
"1,006",17-Jul-2003
957,18-Jul-2003
949,21-Jul-2003
926,22-Jul-2003
938,23-Jul-2003
939,24-Jul-2003
947,25-Jul-2003
922,28-Jul-2003
942,29-Jul-2003
944,30-Jul-2003
938,31-Jul-2003
932,01-Aug-2003
935,04-Aug-2003
927,05-Aug-2003
921,06-Aug-2003
928,07-Aug-2003
934,08-Aug-2003
945,11-Aug-2003
934,12-Aug-2003
943,13-Aug-2003
940,14-Aug-2003
943,15-Aug-2003
960,18-Aug-2003
955,19-Aug-2003
974,20-Aug-2003
"1,011",21-Aug-2003
"1,037",22-Aug-2003
"1,037",25-Aug-2003
"1,098",26-Aug-2003
"1,082",27-Aug-2003
"1,130",28-Aug-2003
"1,132",29-Aug-2003
"1,115",01-Sep-2003
"1,102",02-Sep-2003
"1,063",03-Sep-2003
"1,083",04-Sep-2003
"1,073",05-Sep-2003
"1,074",08-Sep-2003
"1,053",09-Sep-2003
"1,032",10-Sep-2003
972,11-Sep-2003
964,12-Sep-2003
963,15-Sep-2003
969,16-Sep-2003
984,17-Sep-2003
957,18-Sep-2003
967,19-Sep-2003
955,22-Sep-2003
"1,001",23-Sep-2003
"1,017",24-Sep-2003
"1,022",25-Sep-2003
988,26-Sep-2003
992,29-Sep-2003
"1,013",30-Sep-2003
969,01-Oct-2003
957,02-Oct-2003
963,03-Oct-2003
958,06-Oct-2003
964,07-Oct-2003
912,08-Oct-2003
922,09-Oct-2003
916,10-Oct-2003
925,13-Oct-2003
896,14-Oct-2003
905,15-Oct-2003
891,16-Oct-2003
850,17-Oct-2003
856,20-Oct-2003
864,21-Oct-2003
844,22-Oct-2003
849,23-Oct-2003
859,24-Oct-2003
851,27-Oct-2003
844,28-Oct-2003
852,29-Oct-2003
847,30-Oct-2003
850,31-Oct-2003
851,03-Nov-2003
861,04-Nov-2003
873,05-Nov-2003
877,06-Nov-2003
898,07-Nov-2003
870,10-Nov-2003
888,11-Nov-2003
911,12-Nov-2003
925,13-Nov-2003
940,14-Nov-2003
921,17-Nov-2003
907,18-Nov-2003
921,19-Nov-2003
912,20-Nov-2003
878,21-Nov-2003
879,24-Nov-2003
853,25-Nov-2003
855,26-Nov-2003
857,27-Nov-2003
868,28-Nov-2003
899,01-Dec-2003
890,02-Dec-2003
910,03-Dec-2003
931,04-Dec-2003
920,05-Dec-2003
926,08-Dec-2003
984,09-Dec-2003
962,10-Dec-2003
944,11-Dec-2003
950,12-Dec-2003
962,15-Dec-2003
925,16-Dec-2003
934,17-Dec-2003
934,18-Dec-2003
924,19-Dec-2003
914,22-Dec-2003
906,23-Dec-2003
908,24-Dec-2003
900,29-Dec-2003
891,30-Dec-2003
893,31-Dec-2003
859,02-Jan-2004
851,05-Jan-2004
885,06-Jan-2004
933,07-Jan-2004
918,08-Jan-2004
943,09-Jan-2004
938,12-Jan-2004
922,13-Jan-2004
906,14-Jan-2004
907,15-Jan-2004
925,16-Jan-2004
947,19-Jan-2004
922,20-Jan-2004
942,21-Jan-2004
961,22-Jan-2004
930,23-Jan-2004
934,26-Jan-2004
923,27-Jan-2004
879,28-Jan-2004
907,29-Jan-2004
905,30-Jan-2004
899,02-Feb-2004
945,03-Feb-2004
931,04-Feb-2004
940,05-Feb-2004
898,06-Feb-2004
888,09-Feb-2004
888,10-Feb-2004
881,11-Feb-2004
883,12-Feb-2004
880,13-Feb-2004
872,16-Feb-2004
875,17-Feb-2004
860,18-Feb-2004
844,19-Feb-2004
831,20-Feb-2004
831,23-Feb-2004
841,24-Feb-2004
862,25-Feb-2004
914,26-Feb-2004
903,27-Feb-2004
881,01-Mar-2004
875,02-Mar-2004
856,03-Mar-2004
847,04-Mar-2004
829,05-Mar-2004
828,08-Mar-2004
823,09-Mar-2004
812,10-Mar-2004
825,11-Mar-2004
